zone_id,location_type,stop_url,stop_name,preferred,stop_desc,wheelchair_boarding,stop_lat,stop_id,stop_lon,parent_station,stop_timezone,stop_code
,0,,Garden Northbound @ Cork,2,,1,43.91380800000001,17,-78.946197,,,17
,0,,Brock Street Northbound @ Gilbert,2,,1,43.87664417732835,170,-78.9408107746133,,,170
,0,,Alyssum Eastbound @ Lublin,2,,1,43.824092,1701,-79.075833,,,1701
,0,,Sandy Beach Southbound @ Parkham,2,,1,43.819293,1703,-79.072432,,,1703
,0,,Montgomery Park Eastbound @ OPG Pickering,2,,1,43.8143165023665,1706,-79.06519369171588,,,1706
,0,,Montgomery Park Eastbound @ Brock Road,2,,1,43.815436,1707,-79.06028999999998,,,1707
,0,,McKay Northbound @ Montgomery Park,2,,1,43.819181,1709,-79.05741,,,1709
,0,,Brock Street Northbound @ Dundas,1,,1,43.879703,171,-78.94210099999998,,,171
,0,,Squires Beach Northbound @ McKay,2,,1,43.821982,1711,-79.05191499999998,,,1711
,0,,Northbound @ 1111 Squires Beach,2,,1,43.824595,1712,-79.053029,,,1712
,0,,Clements Westbound @ Squires Beach,2,,1,43.827022,1713,-79.054705,,,1713
,0,,Westbound @ 1850 Clements,2,,1,43.8266135,1714,-79.05666669999998,,,1714
,0,,Westbound @ 1768 Clements,2,,1,43.825697,1715,-79.060627,,,1715
,0,,Clements Westbound @ Brock Road,1,,1,43.825146,1716,-79.063235,,,1716
,0,,Brock Road Northbound @ Quigley,2,,1,43.82876000000001,1719,-79.065535,,,1719
,0,,Brock Street Northbound @ John,2,,1,43.882531,172,-78.943093,,,172
,0,,Brock Road Northbound @ Kingston,2,,1,43.848587,1724,-79.07411399999998,,,1724
,0,,Liverpool Northbound @ Pickering Parkway,2,,1,43.833073,1729,-79.08913099999998,,,1729
,0,,Brock Street Northbound @ Walnut,2,,1,43.884079,173,-78.943797,,,173
,0,,Liverpool Northbound @ Kingston,1,,1,43.835391,1730,-79.090151,,,1730
,0,,Northbound @ 1851 Liverpool,1,,1,43.837643,1731,-79.09107,,,1731
,0,,Liverpool Northbound @ Glenanna,2,,1,43.83937800000001,1732,-79.091944,,,1732
,0,,Northbound @ 1917 Liverpool,2,,1,43.840787,1733,-79.092623,,,1733
,0,,Liverpool Northbound @ Anton Square,2,,1,43.842877,1734,-79.093507,,,1734
,0,,Brock Street Northbound @ Chestnut,2,,1,43.88521,174,-78.944286,,,174
,0,,Liverpool Southbound @ Pickering Parkway,2,,1,43.832976,1741,-79.089382,,,1741
,0,,Kingston Westbound @ Whites,2,,1,43.818764,1742,-79.115943,,,1742
,0,,Whites Northbound @ Sheppard,2,,1,43.821974,1743,-79.116675,,,1743
,0,,Whites Northbound @ Briar Wood,2,,1,43.826169,1745,-79.11869299999998,,,1745
,0,,Whites Northbound @ Strouds,1,,1,43.82930600000001,1746,-79.120021,,,1746
,0,,Whites Northbound @ New,2,,1,43.833399,1747,-79.121756,,,1747
,0,,Whites Northbound @ Finch,2,,1,43.838667,1749,-79.12405,,,1749
,0,,Brock Street Northbound @ Maple,2,,1,43.886266,175,-78.94474599999998,,,175
,0,,Whites Southbound @ Sunbird Trail,2,,1,43.84406700000001,1751,-79.126966,,,1751
,0,,Whites Southbound @ Finch,2,,1,43.83854,1753,-79.124218,,,1753
